"Ano","Resposta","Tamanho_Amostra","Latitude","Longitude","Tabaco_Mascavel","Ja_fumou","Fuma_regularmente","Masculino","Ensino_Fund"
2001,6,1870,40.130570048,-74.273691288,1,1,0,0,0
2008,0.3,633,42.469400913,-93.816490556,0,0,1,0,1
2002,6.4,780,42.469400913,-93.816490556,0,0,0,1,1
1999,27.6,897,32.745510099,-89.538030825,1,1,0,1,1
2007,9.9,1524,35.472031356,-97.521070214,0,0,1,1,0
2007,59.8,565,38.665510202,-80.712640135,0,1,0,0,0
2012,0.3,869,44.393191174,-89.816370742,0,0,1,0,1
2010,16.7,648,40.485010283,-88.997710178,0,0,0,0,0
2015,10.5,1701,35.466220975,-79.159250463,0,0,0,1,0
2008,10,668,32.840571122,-86.631860762,1,1,0,0,0
2013,7.6,1035,47.475319779,-100.118421049,0,0,1,0,0
2002,0,700,40.060210141,-82.404260056,1,0,1,0,0
2014,4.1,1008,46.355648736,-94.794200503,1,1,0,1,1
2006,6,1589,39.766910452,-86.149960194,1,1,0,0,0
2006,2.9,1817,39.766910452,-86.149960194,0,0,1,1,1
2007,3.7,1335,44.661319543001,-84.71439027,1,0,0,0,0
2003,4.8,5084,21.304850435,-157.857749403,0,0,0,1,1
2005,2,827,38.635790776,-92.566300053,0,0,1,0,1
2014,13.8,1885,40.130570048,-74.273691288,1,1,0,1,0
2002,14.5,695,40.060210141,-82.404260056,0,0,1,0,0
2013,4.3,904,32.745510099,-89.538030825,1,1,0,0,1
2014,3.5,1095,46.355648736,-94.794200503,0,0,1,0,0
2006,1.1,1076,41.641040988001,-99.365720623,1,0,1,1,1
2002,28.6,628,44.393191174,-89.816370742,0,0,0,1,0
2007,4.9,811,43.655950113,-71.50036092,1,1,0,0,0
2003,1.1,4858,37.638640123,-120.999999538,0,0,1,1,1
2013,0,769,38.3477403,-98.200781227,0,0,1,0,1
